CompanyCode,Plant,Material,FiscalYear,FiscalPeriod,TipoMaterial,TipoMaterialText,PlantName,ContaContabil,ContaContabilText,ProfitCenter,CompanyCodeCurrency,BaseUnit,QtdBruta,ValorTotalCalculado,PrecoUnitarioBruto
US10,P001,RM-012,2023,7,FERT,Produto Acabado,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-3000,EUR,TON,4293.131,14970761.71,3487.143
BR01,P003,MAT-1003,2025,10,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-2000,USD,M,2252.479,4177490.35,1854.619
UK01,P003,MAT-1005,2025,4,HALB,Produto Semi-Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-2000,BRL,TON,2773.369,887539.09,320.022
FR01,P003,SKU-8891,2023,5,ROH,Materia Prima,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-2000,USD,KG,4465.712,17381171.84,3892.139
DE10,P003,FERT-3001,2023,11,FERT,Produto Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,BRL,L,3724.066,18015470.92,4837.581
DE10,P004,MAT-1003,2025,12,HALB,Produto Semi-Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-2000,BRL,M,2379.049,2700981.91,1135.32
UK01,P003,MAT-1015,2024,11,ROH,Materia Prima,Fabrica Berlim,510110,Consumo de Materia Prima,PC-1000,BRL,TON,4161.467,16745813.95,4024.017
FR01,P003,MAT-1005,2024,6,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,USD,TON,37.804,148752.5,3934.835
DE10,P003,RM-045,2025,8,FERT,Produto Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-2000,GBP,L,699.845,401386.3,573.536
FR01,P001,HALB-2002,2023,8,FERT,Produto Acabado,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-1000,USD,L,2768.343,7741607.53,2796.477
UK01,P004,RM-005,2023,11,HALB,Produto Semi-Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-1000,GBP,PC,4267.162,4994555.24,1170.463
DE10,P002,RM-045,2024,6,ROH,Materia Prima,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,USD,KG,3919.707,13020886.44,3321.903
FR01,P002,MAT-1002,2023,11,ROH,Materia Prima,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,GBP,KG,3612.074,8343616.42,2309.924
FR01,P002,RM-012,2024,8,HALB,Produto Semi-Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-2000,GBP,KG,1905.725,2874326.88,1508.259
DE10,P002,SKU-8891,2023,10,HALB,Produto Semi-Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-3000,USD,TON,4542.995,15895194.45,3498.836
DE10,P002,RM-012,2025,2,HAWA,Mercadoria de Revenda,Filial RJ,510110,Consumo de Materia Prima,PC-2000,EUR,PC,1361.936,657621.69,482.858
BR01,P003,HALB-2001,2025,6,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,EUR,L,884.687,3789304.63,4283.215
FR01,P002,HALB-2001,2024,10,ROH,Materia Prima,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-1000,BRL,L,3249.583,1375018.8,423.137
FR01,P001,MAT-1004,2023,4,FERT,Produto Acabado,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-3000,GBP,L,517.911,1521951.39,2938.635
DE10,P002,HALB-2001,2024,6,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,BRL,KG,114.997,551161.99,4792.838
DE10,P002,RM-023,2024,10,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-1000,GBP,PC,4689.194,13406729.2,2859.069
BR01,P003,RM-012,2025,7,HAWA,Mercadoria de Revenda,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-1000,USD,L,109.039,450509.13,4131.633
FR01,P002,FERT-3001,2025,12,FERT,Produto Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-3000,USD,KG,1406.888,4639148.46,3297.454
DE10,P003,MAT-1005,2024,4,HAWA,Mercadoria de Revenda,Fabrica Berlim,510110,Consumo de Materia Prima,PC-3000,USD,M,188.025,521714.28,2774.707
UK01,P004,SKU-8891,2023,12,ROH,Materia Prima,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-3000,BRL,KG,1455.298,3748514.38,2575.771
BR01,P003,RM-012,2025,11,HALB,Produto Semi-Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,BRL,M,4961.885,22122539.46,4458.495
DE10,P001,MAT-1015,2024,11,HALB,Produto Semi-Acabado,Fabrica Matriz SP,510100,Custo de Mercadoria Vendida (CMV),PC-1000,EUR,TON,3860.29,12772329.21,3308.645
BR01,P002,MP-BETA,2025,11,ROH,Materia Prima,Filial RJ,130100,Conta de Estoque Materiais,PC-1000,EUR,KG,1205.612,741049.91,614.667
UK01,P002,MP-ALPHA,2025,4,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,USD,L,982.977,1525883.06,1552.308
BR01,P002,MAT-1001,2025,12,HAWA,Mercadoria de Revenda,Filial RJ,130100,Conta de Estoque Materiais,PC-1000,USD,L,1149.05,758348.87,659.979
BR01,P004,HALB-2001,2025,2,HAWA,Mercadoria de Revenda,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-3000,GBP,KG,999.678,4019524.3,4020.819
BR01,P002,MP-BETA,2024,7,FERT,Produto Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,USD,M,1988.493,2993562.87,1505.443
BR01,P003,MP-BETA,2024,11,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-1000,EUR,KG,125.273,347812.34,2776.435
FR01,P003,SKU-8891,2025,6,ROH,Materia Prima,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-2000,EUR,TON,2980.617,13905123.76,4665.183
DE10,P004,MAT-1003,2023,5,FERT,Produto Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-2000,GBP,TON,4147.314,16524097.55,3984.289
UK01,P004,HALB-2001,2024,2,HAWA,Mercadoria de Revenda,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-2000,GBP,M,2063.445,3861832.24,1871.546
UK01,P002,MAT-1010,2025,12,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-1000,GBP,KG,1184.075,4416984.57,3730.325
UK01,P002,MAT-1004,2023,11,HALB,Produto Semi-Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,EUR,KG,4123.496,6401162.62,1552.363
FR01,P001,MAT-1004,2023,3,FERT,Produto Acabado,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-1000,GBP,KG,578.335,61719.33,106.719
UK01,P002,FERT-3001,2024,9,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,GBP,M,1968.759,3131580.91,1590.637
