CompanyCode,Plant,Material,FiscalYear,FiscalPeriod,TipoMaterial,TipoMaterialText,PlantName,ContaContabil,ContaContabilText,ProfitCenter,CompanyCodeCurrency,BaseUnit,EstoqueQuantidade,EstoqueValorTotal,PrecoUnitario_Oficial
US10,P001,RM-002,2023,7,HALB,Semi-Acabado,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-3000,EUR,TON,4294.404,4498667.33,1047.565
BR01,P003,MAT-1002,2025,10,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-2000,USD,M,2257.426,1262675.43,559.343
UK01,P003,MAT-1004,2025,4,FERT,Produto Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-2000,BRL,TON,2777.378,278868.19,100.407
FR01,P003,SKU-STK-02,2023,5,ROH,Materia Prima,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-2000,USD,KG,4466.674,5220125.97,1168.683
DE10,P003,FERT-3001,2023,11,HALB,Semi-Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,BRL,L,3726.363,5408543.87,1451.427
DE10,P004,MAT-1002,2025,12,FERT,Produto Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-2000,BRL,M,2383.768,820562.07,344.229
UK01,P003,MAT-1005,2024,11,ROH,Materia Prima,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-1000,BRL,TON,4162.976,5029387.05,1208.123
FR01,P003,MAT-1003,2024,6,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,USD,TON,46.738,55218.7,1181.452
DE10,P003,HALB-2010,2025,8,HALB,Semi-Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-2000,GBP,L,707.587,124692.4,176.222
FR01,P001,HALB-2020,2023,8,HALB,Semi-Acabado,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-1000,USD,L,2772.361,2331597.19,841.015
UK01,P004,RM-002,2023,11,FERT,Produto Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-1000,GBP,PC,4268.481,1514200.95,354.74
DE10,P002,HALB-2010,2024,6,ROH,Materia Prima,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,USD,KG,3921.652,3914393.02,998.149
FR01,P002,MAT-1002,2023,11,ROH,Materia Prima,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,GBP,KG,3614.573,2513957.21,695.506
