ChartOfAccounts,GLAccount,GLAccountName,GLAccountGroup,GLAccountType,IsBalanceSheetAccount,ParentAccount
YCOA,ALL,Plano de Contas Corporativo,ROOT,N,,
YCOA,BP,Balanco Patrimonial,BAL,X,X,ALL
YCOA,DRE,Demonstracao do Resultado,ROOT,N,,ALL
YCOA,1,Ativo,BAL,X,X,BP
YCOA,2,Passivo,BAL,X,X,BP
YCOA,3,Patrimonio Liquido,BAL,X,X,BP
YCOA,4,Receitas,REV,P,,DRE
YCOA,5,Custos,EXP,P,,DRE
YCOA,6,Despesas Operacionais,EXP,P,,DRE
YCOA,110000,Disponibilidades,BAL,X,X,1
YCOA,115000,Aplicacoes e Titulos Liquidez Imediata,BAL,X,X,1
YCOA,118000,Outras Disponibilidades,BAL,X,X,1
YCOA,120000,Contas a Receber,BAL,X,X,1
YCOA,125000,Cartoes Credito Debito POS,BAL,X,X,1
YCOA,130000,Estoques,MAT,X,X,1
YCOA,135000,Estoques em Transito Third Party,MAT,X,X,1
YCOA,140000,Tributos a Recuperar,BAL,X,X,1
YCOA,145000,Tributos Diferidos Ativo Circulante,BAL,X,X,1
YCOA,150000,Adiantamentos e Outros Direitos Circulantes,BAL,X,X,1
YCOA,155000,Credito Judicial e Fiscal Diferido,BAL,X,X,1
YCOA,160000,Imobilizado,BAL,X,X,1
YCOA,165000,Imobilizado em Andamento CPC,BAL,X,X,1
YCOA,170000,Intangivel,BAL,X,X,1
YCOA,175000,Investimento MEP Equivalente Patrimonio,BAL,X,X,1
YCOA,180000,Outros Ativos Nao Circulantes,BAL,X,X,1
YCOA,210000,Fornecedores a Pagar,BAL,X,X,2
YCOA,215000,Obrigacoes Fiscais Diferidas LP,BAL,X,X,2
YCOA,220000,Obrigações Trabalhistas,BAL,X,X,2
YCOA,225000,Participacoes e Lucros a Distribuir,BAL,X,X,2
YCOA,230000,Emprestimos e Financiamentos,BAL,X,X,2
YCOA,235000,Debentures e Titulos Emitidos,BAL,X,X,2
YCOA,240000,Tributos a Recolher,BAL,X,X,2
YCOA,245000,Obrigacoes Trabalhistas Fiscais Diversos,BAL,X,X,2
YCOA,250000,Receitas Diferidas LP,BAL,X,X,2
YCOA,260000,Provisões Judiciais e Trabalhistas,BAL,X,X,2
YCOA,270000,Passivo Fiscal Diferido,BAL,X,X,2
YCOA,275000,Outros Passivos Nao Circulantes,BAL,X,X,2
YCOA,280000,Intercompany Consolidacao CPC,BAL,X,X,2
YCOA,310000,Capital e Reservas,BAL,X,X,3
YCOA,315000,Ajustes Avaliacao Patrimonial,BAL,X,X,3
YCOA,320000,Lucros Prejuizos Retidos Movimento,BAL,X,X,3
YCOA,325000,Dividendos JCP Provisionados PL,BAL,X,X,3
YCOA,410000,Receita de Vendas,REV,P,,4
YCOA,415000,Receita Prestacao Bundled Services,REV,P,,4
YCOA,420000,Receita de Servicos,REV,P,,4
YCOA,425000,Receita SaaS Contratos Multi Ano,REV,P,,4
YCOA,430000,Receitas Financeiras,REV,N,,4
YCOA,435000,Resultado Equivalence Patrimonial,REV,N,,4
YCOA,438000,Outras Operacionais Credoras,REV,P,,4
YCOA,440000,Deduções e Devolucões sobre Receitas,REV,P,,4
YCOA,450000,Subvencoes e Incentivos Reconhecidos,REV,N,,4
YCOA,510000,Custo dos Produtos Vendidos,EXP,P,,5
YCOA,515000,Custo Indiretos Producao Alocados,EXP,P,,5
