Client,Product,ProductDescription,Language,ProductType,BaseUnit,PurchaseOrderQuantityUnit,PreferredUnitOfMeasure,ProductGroup,ProductHierarchy,Division,IndustrySector,ItemCategoryGroup,CountryOfOrigin,NetWeight,GrossWeight,WeightUnit,MaterialVolume,VolumeUnit,ValidityStartDate,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,AuthorizationGroup,CrossPlantStatus,Brand,ProductManufacturerNumber,WarehouseProductGroup,WarehouseStorageCondition,ProcurementRule,IsMarkedForDeletion,IsBatchManagementRequired,ProductIsConfigurable,QltyMgmtInProcmtIsActive,QualityInspectionGroup,SerialNumberProfile,SizeOrDimensionText
100,000000005010000100,Painel Metalico Automotivo 63B P001,PT,FERT,PAL,CS,PAL,Z001,009005008009001009,40,A,VERP,BR,191.806,193.426,KG,0.445,CDM,20200103,MDG_USER08,20220901,MM_BATCH_03,20210103,,01,ZBX1,,,Z1,,,,,,,,426mm
200,000000005010000237,Composto Quimico Standard 17B P002,EN,HALB,CS,CS,CS,Z002,008003004003002003,10,P,NORM,US,123.864,124.044,LB,2.200,CDM,20241204,MM_BATCH_01,20210622,CB9980520020,20220510,M001,02,,,WA01,02,X,,,,,,,
300,000000005010000374,Aluminio Flexivel 15D P003,DE,ROH,L,L,L,Z010,006004007008008008,00,M,NORM,DE,216.894,246.586,KG,1.276,CDM,20170326,MM_BATCH_01,20191230,MDG_USER12,20240810,M001,01,0001,,WHSE,04,,,X,,X,ZM01,SERI,
400,000000005010000511,Manta Plastica Alimenticio 33D P004,FR,HAWA,M,KG,KG,Z020,001007004003001002,10,M,LUMF,FR,67.490,75.781,LB,,,20230821,CB9980520010,20190725,MDG_USER12,20140311,M002,ZL,0001,MFR-850089,,Z1,,,,,,,,
510,000000005010000648,Etiqueta Adesiva Automotivo 09D P001,EN,NLAG,M2,KG,KG,Z030,006001008002008002,40,A,VERP,GB,146.481,153.871,KG,1.831,CDM,20160825,MM_BATCH_01,20140301,CB9980520020,20191107,M001,01,,MFR-884930,WHSE,Z1,F,,,,X,ZM01,,
600,000000005010000785,Servico de Pintura Reforcado 96A P002,PT,DIEN,EA,EA,EA,ZMAT,009008004003003008,10,M,LUMF,BR,405.096,466.962,KG,,,20160714,MDG_USER08,20180506,MDG_USER12,20160304,ZMM1,02,,,WHSE,04,,,,,,QP01,,
700,000000005010000922,Kit de Vedacao Reforcado 07A P003,EN,ERSA,KG,KG,KG,ZSRV,005006007001002006,40,A,VERP,US,103.881,122.142,KG,,,20180813,CB9980520010,20230701,MM_BATCH_03,20220417,M001,,ORGL,,,,X,,,,,,,
812,000000005010001059,Garrafa PET Industrial 83D P004,DE,FERT,CS,EA,EA,Z001,003001004008005007,40,P,VERP,DE,191.859,218.085,G,2.195,L,20170308,MM_BATCH_01,20240510,MM_BATCH_03,20140930,M002,,PLBL,,,,,,,,X,QP01,,352mm
100,000000005010001196,Placa de Polimero Alimenticio 40C P001,FR,HALB,EA,EA,EA,Z002,005006002005003003,30,A,NORM,FR,247.804,304.151,LB,0.615,CDM,20250917,MM_BATCH_01,20201206,MDG_USER12,20230908,M001,01,PLBL,,,04,X,,,X,,,,101mm
200,000000005010001333,Polietileno Automotivo 32C P002,EN,ROH,L,EA,EA,Z010,003005008004002002,40,M,BANS,GB,11.266,12.216,KG,,,20180514,MDG_USER08,20230128,CB9980520020,20200219,M002,02,,,WA01,02,,,,,,,,
