Client,ProductType,ProductTypeName,Language,MaterialTypeCategory,IndustrySector,MaterialTypeRefProductType,NumberRangeGroup,ExternalNumberRangeIsAllowed,InternalNumberRangeIsAllowed,QuantityIsUpdated,ValueIsUpdated,BatchManagementIsRequired,SplitValuationIsAllowed,NegativeStocksAreAllowed,MaterialLedgerIsActivated,PriceControl,AccountCategoryReference,SerialNumberProfile,DefaultUnitOfMeasure,ProductGroup,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,IsMarkedForDeletion
100,FERT,Finished Product,E,01,M,,01,,X,X,X,X,X,,X,V,0001,SER1,CS,Z010,MM_CUSTOM,20180101,MM_CUSTOM,20230411,
200,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,S,0002,SER1,EA,Z020,MDG_BATCH,20190202,MDG_BATCH,20240512,
300,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z030,CB9980520010,20200303,CB9980520020,20250613,
400,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,,,X,X,V,0004,,EA,Z010,MM_CUSTOM,20210404,MM_CUSTOM,20230714,
510,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,PC,ZSRV,MDG_BATCH,20220505,MDG_BATCH,20240815,
600,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230606,CB9980520020,20250916,
700,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,PC,Z002,MM_CUSTOM,20240707,MM_CUSTOM,20231017,
812,FERT,Finished Product,F,01,M,,01,,X,X,X,,X,,X,V,0001,,CS,Z010,MDG_BATCH,20180808,MDG_BATCH,20241118,
100,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,ZSER,M,Z002,CB9980520010,20190909,CB9980520020,20251219,
200,ROH,Raw Material,P,03,M,,03,X,X,X,X,X,X,,X,V,0003,,M,Z030,MM_CUSTOM,20201010,MM_CUSTOM,20230120,
300,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,PC,Z010,MDG_BATCH,20211111,MDG_BATCH,20240221,
400,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,CB9980520010,20221212,CB9980520020,20250322,
510,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230113,MM_CUSTOM,20230423,
600,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,Z001,MDG_BATCH,20240214,MDG_BATCH,20240524,
700,FERT,Finished Product,D,01,M,,01,,X,X,X,X,X,,X,V,0001,ZSER,CS,Z010,CB9980520010,20180315,CB9980520020,20250625,
812,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,,M,Z020,MM_CUSTOM,20190416,MM_CUSTOM,20230726,
100,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,M,Z020,MDG_BATCH,20200517,MDG_BATCH,20240827,
200,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,EA,Z001,CB9980520010,20210618,CB9980520020,20250901,
300,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,EA,Z001,MM_CUSTOM,20220719,MM_CUSTOM,20231002,
400,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230820,MDG_BATCH,20241103,
510,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,Z001,CB9980520010,20240921,CB9980520020,20251204,
600,FERT,Finished Product,P,01,M,,01,,X,X,X,X,X,,X,V,0001,SER1,CS,Z010,MM_CUSTOM,20181022,MM_CUSTOM,20230105,
700,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,,X,,X,S,0002,SER1,KG,Z002,MDG_BATCH,20191123,MDG_BATCH,20240206,
812,ROH,Raw Material,F,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z020,CB9980520010,20201224,CB9980520020,20250307,
100,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,,X,V,0004,SER1,EA,Z010,MM_CUSTOM,20210125,MM_CUSTOM,20230408,
200,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,PC,Z001,MDG_BATCH,20220226,MDG_BATCH,20240509,
300,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230327,CB9980520020,20250610,
400,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,,PC,Z001,MM_CUSTOM,20240401,MM_CUSTOM,20230711,
510,FERT,Finished Product,E,01,M,,01,,X,X,X,X,X,,X,V,0001,ZSER,EA,Z010,MDG_BATCH,20180502,MDG_BATCH,20240812,
600,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,V,0002,ZSER,KG,Z020,CB9980520010,20190603,CB9980520020,20250913,
700,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z020,MM_CUSTOM,20200704,MM_CUSTOM,20231014,
812,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,X,,,X,V,0004,,EA,Z002,MDG_BATCH,20210805,MDG_BATCH,20241115,
100,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,PC,Z010,CB9980520010,20220906,CB9980520020,20251216,
200,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20231007,MM_CUSTOM,20230117,
300,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,ZMAT,MDG_BATCH,20241108,MDG_BATCH,20240218,
400,FERT,Finished Product,F,01,M,,01,,X,X,X,,X,,X,S,0001,,PC,Z010,CB9980520010,20181209,CB9980520020,20250319,
510,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,SER1,KG,Z002,MM_CUSTOM,20190110,MM_CUSTOM,20230420,
600,ROH,Raw Material,P,03,M,,03,X,X,X,X,,X,,X,V,0003,,M,Z030,MDG_BATCH,20200211,MDG_BATCH,20240521,
700,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,,X,V,0004,,EA,Z002,CB9980520010,20210312,CB9980520020,20250622,
812,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,MM_CUSTOM,20220413,MM_CUSTOM,20230723,
100,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230514,MDG_BATCH,20240824,
200,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,SER1,PC,Z001,CB9980520010,20240615,CB9980520020,20250925,
300,FERT,Finished Product,D,01,M,,01,,X,X,X,X,X,,X,S,0001,SER1,EA,Z001,MM_CUSTOM,20180716,MM_CUSTOM,20231026,
400,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,ZSER,EA,Z020,MDG_BATCH,20190817,MDG_BATCH,20241127,
510,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,L,Z030,CB9980520010,20200918,CB9980520020,20251201,
600,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,,,X,X,V,0004,SER1,EA,Z010,MM_CUSTOM,20211019,MM_CUSTOM,20230102,
700,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,EA,Z010,MDG_BATCH,20221120,MDG_BATCH,20240203,
812,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20231221,CB9980520020,20250304,
100,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,EA,ZMAT,MM_CUSTOM,20240122,MM_CUSTOM,20230405,
200,FERT,Finished Product,P,01,M,,01,,X,X,X,,X,,X,V,0001,SER1,PC,Z001,MDG_BATCH,20180223,MDG_BATCH,20240506,
300,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,,KG,Z002,CB9980520010,20190324,CB9980520020,20250607,
400,ROH,Raw Material,F,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,Z030,MM_CUSTOM,20200425,MM_CUSTOM,20230708,
510,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,X,X,V,0004,SER1,PC,Z010,MDG_BATCH,20210526,MDG_BATCH,20240809,
600,NLAG,Non-Stock Material,P,05,M,,05,X,X,,,,,,,,0005,,EA,ZSRV,CB9980520010,20220627,CB9980520020,20250910,
700,DIEN,Service,D,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230701,MM_CUSTOM,20231011,
812,ERSA,Spare Part,F,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,EA,Z001,MDG_BATCH,20240802,MDG_BATCH,20241112,
100,FERT,Finished Product,E,01,M,,01,,X,X,X,,X,,X,S,0001,ZSER,CS,Z010,CB9980520010,20180903,CB9980520020,20251213,
200,HALB,Semi-Finished Product,P,02,M,FERT,02,,X,X,X,,X,,X,V,0002,ZSER,M,ZMAT,MM_CUSTOM,20191004,MM_CUSTOM,20230114,
300,ROH,Raw Material,D,03,M,,03,X,X,X,X,X,X,,X,V,0003,,G,ZMAT,MDG_BATCH,20201105,MDG_BATCH,20240215,
400,HAWA,Trading Goods,F,04,A,,04,X,X,X,X,X,,,X,V,0004,,EA,Z002,CB9980520010,20211206,CB9980520020,20250316,
510,NLAG,Non-Stock Material,E,05,M,,05,X,X,,,,,,,,0005,,PC,Z001,MM_CUSTOM,20220107,MM_CUSTOM,20230417,
600,DIEN,Service,P,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MDG_BATCH,20230208,MDG_BATCH,20240518,
700,ERSA,Spare Part,D,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,Z002,CB9980520010,20240309,CB9980520020,20250619,
812,FERT,Finished Product,F,01,M,,01,,X,X,X,X,X,,X,V,0001,,EA,Z001,MM_CUSTOM,20180410,MM_CUSTOM,20230720,
100,HALB,Semi-Finished Product,E,02,M,FERT,02,,X,X,X,,X,,X,S,0002,,KG,Z002,MDG_BATCH,20190511,MDG_BATCH,20240821,
200,ROH,Raw Material,P,03,M,,03,X,X,X,X,,X,,X,V,0003,,G,Z020,CB9980520010,20200612,CB9980520020,20250922,
300,HAWA,Trading Goods,D,04,A,,04,X,X,X,X,,,,X,V,0004,,EA,Z010,MM_CUSTOM,20210713,MM_CUSTOM,20231023,
400,NLAG,Non-Stock Material,F,05,M,,05,X,X,,,,,,,,0005,,PC,Z010,MDG_BATCH,20220814,MDG_BATCH,20241124,
510,DIEN,Service,E,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,CB9980520010,20230915,CB9980520020,20251225,
600,ERSA,Spare Part,P,07,M,ROH,07,X,X,X,X,,X,,X,V,0007,,PC,Z001,MM_CUSTOM,20241016,MM_CUSTOM,20230126,
700,FERT,Finished Product,D,01,M,,01,,X,X,X,,X,,X,V,0001,,PC,Z001,MDG_BATCH,20181117,MDG_BATCH,20240227,
812,HALB,Semi-Finished Product,F,02,M,FERT,02,,X,X,X,X,X,,X,S,0002,SER1,EA,ZMAT,CB9980520010,20191218,CB9980520020,20250301,
100,ROH,Raw Material,E,03,M,,03,X,X,X,X,X,X,,X,V,0003,,G,Z030,MM_CUSTOM,20200119,MM_CUSTOM,20230402,
200,HAWA,Trading Goods,P,04,A,,04,X,X,X,X,X,,,X,V,0004,SER1,PC,Z002,MDG_BATCH,20210220,MDG_BATCH,20240503,
300,NLAG,Non-Stock Material,D,05,M,,05,X,X,,,,,,,,0005,,EA,Z010,CB9980520010,20220321,CB9980520020,20250604,
400,DIEN,Service,F,06,P,,06,X,X,,X,,,,,V,0006,,EA,ZSRV,MM_CUSTOM,20230422,MM_CUSTOM,20230705,
510,ERSA,Spare Part,E,07,M,ROH,07,X,X,X,X,X,X,,X,V,0007,SER1,EA,Z002,MDG_BATCH,20240523,MDG_BATCH,20240806,
600,FERT,Finished Product,P,01,M,,01,,X,X,X,,X,,X,V,0001,,EA,ZMAT,CB9980520010,20180624,CB9980520020,20250907,
700,HALB,Semi-Finished Product,D,02,M,FERT,02,,X,X,X,X,X,,X,V,0002,,M,Z002,MM_CUSTOM,20190725,MM_CUSTOM,20231008,
812,ROH,Raw Material,F,03,M,,03,X,X,X,X,X,X,,X,V,0003,,KG,ZMAT,MDG_BATCH,20200826,MDG_BATCH,20241109,
100,HAWA,Trading Goods,E,04,A,,04,X,X,X,X,,,X,X,V,0004,SER1,EA,Z001,CB9980520010,20210927,CB9980520020,20251210,
