Client,Supplier,SupplierAccountGroup,SupplierName,SupplierFullName,IsBusinessPurposeCompleted,CreatedByUser,CreationDate,IsOneTimeAccount,AuthorizationGroup,VatRegistration,AccountIsBlockedForPosting,TaxJurisdiction,SupplierCorporateGroup,Customer,Industry,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumber6,PostingIsBlocked,PurchasingIsBlocked,InternationalAllocationNumber1,InternationalAllocationNumber2,InternationalAllocationNumber3,AddressId,Region,OrganizationBpName1,OrganizationBpName2,CityName,PostalCode,StreetName,Country,ConcatenatedInternationAllocNo,SupplierProcurementBlock,SuplrQualityManagementSystem,SupplierLanguage,PhoneNumber1,FaxNumber,IsNaturalPerson,VatLiability,ResponsibleType,TaxNumberType,BusinessType,BirthDate,SortField,PhoneNumber2,DeletionIndicator,TaxInvoiceRepresentativeName,IndustryType,TradingPartner,DataMediumExchangeIndicator,TrainStationName,AlternativePayeeIsAllowed,SupplierIsPlantRelevant,SupplierPlant,FactoryCalendar
100,0000000012,ZE02,"Carroll, Johnson and Mitchell - Materiais","Carroll, Johnson and Mitchell - Materiais",,5OF6LR5G0X,20241119,,,441BQ5VI2PIV8R,,,,0010026994,5828,58-6910288,70538191466,,,,ED58EAVYKEK2T5ZHWJ4I,,,8573887,35640,5,0008456604,CO,"Carroll, Johnson and Mitchell - Mat",Shared Services,Heatherland,41984,828 Jackson Causeway,US,8573887356405,02,1026,E,+14026414833,,,,,GB,,,CARROLLJOH,,,,Canal Digital,,,,,,P004,01
400,0000000102,ZOTH,Ramos - Servicos Industriais,Ramos - Servicos Industriais,X,4NFQBTHFBH4,20180727,,,1R6MT2HEIB6GQDVEE1,,BR3724234288,,0010063745,1804,52780718849857  ,60224836179,,,,,,,0796101,76125,3,0002490445,RJ,Ramos - Servicos Industriais,Pharma ME,Garcia de Minas,40645200,"Distrito de Mendonça, 488",BR,0796101761253,02,8478,P,+5594956725880,,,,,US,,,RAMOS,,,,,,,,,X,P003,02
100,0000000159,ZLIF,Johnson-Lane - Logistica,Johnson-Lane - Logistica,,66U2ASE,20230128,X,,,,CA2835671031,,0010087135,4321,5IQOCOA5,84592872834,,2W3VSRC7PEIFBD0IKP,,,,,2799659,20296,8,0003954898,AB,Johnson-Lane - Logistica,Maritime Ltd.,Wallview,093051,757 Abbott Lights,CA,2799659202968,,7733,E,+19425888989,+19423118308,,,,MX,,,JOHNSONLAN,,,,,798364,1,,,X,P003,01
200,0000000191,ZE02,Nelson Inc - Materiais,Nelson Inc - Materiais,,1KXWK4BE75,20240229,,,HM1MWJ1ONAZ7AOB,,,,0010081636,1296,GB262816151509,06221050403,,,,,,,2920982,85232,7,0005348654,MAN,Nelson Inc - Materiais,Industrial PLC,Smithfort,MJ7303DG,Flat 62 Roberts Mall,GB,2920982852327,02,7566,E,+31446991910,,,,,GB,,,NELSONINC,,,,Comercio B2B,,,,,,P003,02
600,0000000213,ZOTH,Grupo Corrales y Partida - Servicos Industriais,Grupo Corrales y Partida - Servicos Industriais,,9D5O3XUJA046,20250720,,,,,MX9687872095,,0010091194,1945,44999NGOL8,,,,,,,,8519473,69352,9,0005413169,JAL,Grupo Corrales y Partida - Servicos,Systems S.A. de C.V.,Vieja Liechtenstein,071634,"Corredor Aragón 611 Edif. 504 , Dep",MX,8519473693529,01,2123,S,+82522371734,,,,,MX,,,GRUPOCORRA,,,,,,,,X,,P004,02
600,0000000248,ZE02,Manufacturas PI S.L. - Materiais,Manufacturas PI S.L. - Materiais,,ZLN8PIVP,20211127,,,,,ES4614907888,,0010080302,0636,75HMKQJLA1,,,,,,,,1449937,70794,9,0000171208,VAS,Manufacturas PI S.L. - Materiais,Regional Hub,Vizcaya,012546,Calle de Nerea Ribas 360 Puerta 9,ES,1449937707949,02,5140,S,+50309661015,,,,,DE,,,MANUFACTUR,,,,,,,,,,P003,02
812,0000000263,ZE02,Cassiano - Servicos Industriais,Cassiano - Servicos Industriais,,9GEURL,20180819,,,46064996184353,,BR4629218464,0000686140,0010035350,0628,46064996184353  ,,,GBAQPAXOS5WVMZQZM6,,,,,0047712,28296,0,0005564091,BA,Cassiano - Servicos Industriais,Distribution,Jesus,61277079,"Feira Casa Grande, 78",BR,0047712282960,02,0197,P,+5525959842474,,,,,MX,Industria de Embalagens,,CASSIANO,,,,Canal Digital,,,,X,,P004,01
700,0000000282,ZIMP,Abreu - Componentes,Abreu - Componentes,,WMLFVX7KYYW,20240901,,,,,PT5803222680,,0010037285,6058,K4YUGAVOYW,84400260877,FVFGIV7SAMZ5DZOMXZ,,,,,,4358403,94911,1,0001561209,XX,Abreu - Componentes,Distribution,Guimarães,009587,"R. Torres, 304",PT,4358403949111,01,6997,P,+86349906737,,,,,FR,,,ABREU,,,Helena Hen,,,,,,,P004,02
812,0000000296,ZLIF,Carre Poirier SARL - Logistica,Carre Poirier SARL - Logistica,,MSJSDSZ9QJ,20200803,,,,,,,0010100152,2376,OTTQ013O0H,,,,,,,,7655354,95932,8,0001658255,OCC,Carre Poirier SARL - Logistica,Systems SA,ValletBourg,17857,avenue Adrienne Garcia,FR,7655354959328,01,4686,F,+88389070690,,,X,,,Industria Quimica,,CARREPOIRI,,,Monique Gu,,147696,,,,,P003,01
510,0000000486,ZLIF,Viana Leão S/A - Materiais,Viana Leão S/A - Materiais,,0GXCY42UE,20141020,,,32634748047833,,,,0010097891,4360,32634748047833  ,87442304614,,,,,,,2569653,04107,9,0005531347,GO,Viana Leão S/A - Materiais,Automotive ME,da Conceição de Siqueira,18804314,"Campo de Guerra, 49",BR,2569653041079,01,,P,+5516981631541,,,,,,,,VIANALEÃOS,,,,,,,,,,P002,
