# Expansão analítica: root|titulo nivel4|AccountGroup|GLAccountType|P1;P2;P3;P4;P5;P6

# --- Ativo ---
115|Titulos publicos alta liquidez|BAL|X|LTN serie F referenciado;LTN serie B;LFT pre;Debent incentivada ICC;Titulo privado corp;Cupom caucao
115|Fundos aplicacoes curto MM|BAL|X|Fundo RF DI;FIDC alta liquidez;Tesouro Selic;cra CPR curto;Acoes classe liquidez;Depositos overnight
118|Numerario contingente e judicial|BAL|X|Bloqueio judicial conta;Custodia garantia;credito autorizado bacen;restricao AML;saldo sub judice;deposito caucao cliente
118|Liquidos em transito|BAL|X|TEC D0 TED agendadas;antecipacao recebivel;pix liquido;margem conta investimento;recebivel marketplace;clearing pendente settlement
125|Cartoes debito ecommerce|BAL|X|Rede Mastercard D1;cielo visa D2;stripe USD receber;paypal split;antecipação cartão bandeira;débito recorrente
125|Cartoes cred bandeiras B2B|BAL|X|Amex corporate;Elo maquineta;hiper cred maquina;POS filial nordeste;chargeback estimado;taxa intercambio ajuste
135|Estoque transito importacao|MAT|X|AWB embarque aéreo;BL maritimo desembaraco;desalfandegamento pendente;consignacao terceiro;cross dock armazem;ajuste qualidade recebimento
135|Servico terceiro estoque 3PL|MAT|X|WMS fulfillment Amazon;fulfillment magalu;consignado parceiro;kitting montagem;devolucao marketplace;perda transportador
145|PIS COFINS diferido corrente|BAL|X|PIS monofasico credito;COFINS nao cumulativo;ajuste escrituracao PIS;ajuste escrituracao COFINS;compensacao SPED;perdcomp parcial
145|ICMS IPI diferido ativo circ|BAL|X|ICMS ST credito;IPI nao aproveitado;FCP credito;DIFAL credito;ajuste apuracao ICMS;ajuste benef fiscal
150|Adiantamento fornecedor MP|BAL|X|Adto importacao L/C;Adto nacional contrato;Adto servico engenharia;Adto marketing evento;Adto utilidades publicas;Adto seguro patrimonio
150|Adiantamento salarial e viagem|BAL|X|Adto viagem internacional;Adto representante;Adto diretoria;Adto convenio hotel;Adto cartao corporativo;Adto evento feira
155|IRRF CSLL compensacao judicial|BAL|X|Compensacao ano base N-1;Compensacao ano base N-2;Deposito judicial IR;Deposito judicial CSLL;Multa autuacao compensada;Juros mora compensados
155|Creditos fiscais contestados|BAL|X|Malha fina SPED;Processo administrativo CARF;acordo confissoes;perdcomp definitivo;ressarcimento PIS credito;ressarcimento COFINS credito
